,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.3998393535614014,0.08867955175094065,0.0013318061828613281,0.0002156091858313678,0.1,"(50, 50)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",0.4697802197802198,0.5769230769230769,0.5631868131868132,0.5,0.5357142857142857,0.5291208791208791,0.039644294522082284,17,0.9546703296703297,0.9567307692307693,0.9567307692307693,0.8935439560439561,0.9532967032967034,0.9429945054945055,0.024759591569999673
1,0.18018364906311035,0.009523445923952977,0.0010184288024902345,1.3897656001715107e-05,0.1,"(50,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,)}",0.5741758241758241,0.5302197802197802,0.5384615384615384,0.5,0.5247252747252747,0.5335164835164835,0.024038069070579496,16,0.7548076923076923,0.6401098901098901,0.7135989010989011,0.7184065934065934,0.7678571428571429,0.718956043956044,0.04454744664982451
2,0.21607823371887208,0.03280242826351226,0.0008992195129394531,0.0001988907507316446,0.1,"(25,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,)}",0.5686813186813187,0.5467032967032966,0.5274725274725275,0.5439560439560439,0.5741758241758241,0.5521978021978022,0.017112540112524645,3,0.8811813186813187,0.9244505494505495,0.8543956043956044,0.8605769230769231,0.7259615384615384,0.8493131868131869,0.06637700349824927
3,0.3673109531402588,0.1245992318971565,0.000876617431640625,0.0003819835718730031,0.1,"(25, 25)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25)}",0.5412087912087912,0.5576923076923077,0.5769230769230769,0.5,0.5576923076923077,0.5467032967032966,0.025946635061796904,9,0.9608516483516484,0.9608516483516484,0.9539835164835165,0.9464285714285714,0.7335164835164835,0.9111263736263737,0.08896455341471501
4,0.3600581169128418,0.05285703664491146,0.002105522155761719,0.0002006057041511263,0.1,"(100, 25, 100)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100)}",0.5412087912087912,0.5714285714285714,0.5357142857142857,0.5384615384615384,0.5274725274725275,0.5428571428571428,0.015007143168953465,11,0.8145604395604396,0.801510989010989,0.7541208791208791,0.9354395604395604,0.8578296703296703,0.8326923076923076,0.06109565223791727
5,0.2867791175842285,0.04273411693792277,0.0012162208557128906,0.000246902274610925,0.01,"(50, 50)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50)}",0.4835164835164835,0.5796703296703297,0.5686813186813187,0.5,0.49725274725274726,0.5258241758241758,0.04002323923400948,18,0.8660714285714286,0.8818681318681318,0.9567307692307693,0.8949175824175825,0.9436813186813187,0.9086538461538461,0.03537721323846388
6,0.17877197265625,0.00860075515597203,0.0009027481079101563,0.00020195889417668543,0.01,"(50,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,)}",0.5741758241758241,0.5521978021978022,0.5412087912087912,0.5,0.5247252747252747,0.5384615384615384,0.025058800551629394,13,0.7548076923076923,0.7074175824175825,0.7122252747252747,0.7197802197802198,0.7664835164835165,0.7321428571428571,0.023890833971052315
7,0.2149203300476074,0.026715543854266024,0.0008838176727294922,0.00025261881289456267,0.01,"(25,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,)}",0.5714285714285714,0.5521978021978022,0.5302197802197802,0.5412087912087912,0.5741758241758241,0.5538461538461539,0.016988598718395927,1,0.8811813186813187,0.9230769230769231,0.853021978021978,0.8605769230769231,0.7252747252747253,0.8486263736263737,0.06630305405071565
8,0.35026350021362307,0.15779991685426717,0.001042795181274414,0.00035241893380293885,0.01,"(25, 25)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25)}",0.5412087912087912,0.5521978021978022,0.5714285714285714,0.5247252747252747,0.5576923076923077,0.5494505494505495,0.015733869300303675,7,0.9505494505494505,0.9608516483516484,0.9519230769230769,0.8633241758241759,0.7328296703296703,0.8918956043956046,0.087082495411677
9,0.3758363723754883,0.04527344072533108,0.0018696308135986329,0.00020863908370334272,0.01,"(100, 25, 100)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100)}",0.5467032967032966,0.5796703296703297,0.5412087912087912,0.5467032967032966,0.5247252747252747,0.5478021978021979,0.01785502946073839,8,0.8173076923076923,0.8791208791208791,0.7541208791208791,0.9354395604395604,0.9381868131868132,0.8648351648351648,0.0708322530113127
