,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.08412351608276367,0.010926153344360921,0.001002931594848633,8.064048063892252e-07,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.7002314814814815,0.0016237319954344998,1,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.6994219653179191,0.7002317157842785,0.00040487523317969123
1,0.10467638969421386,0.010379122421529417,0.0012033939361572265,0.0002456904371521478,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.7002314814814815,0.0016237319954344998,1,0.7004341534008683,0.7004341534008683,0.6157742402315485,0.7004341534008683,0.6965317919075145,0.6827216984683336,0.03350783199306162
2,0.15260581970214843,0.03878527473877506,0.0016042709350585938,0.000490865106058476,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.7002314814814815,0.0016237319954344998,1,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.6994219653179191,0.7002317157842785,0.00040487523317969123
3,0.21679067611694336,0.041076930943830865,0.0022120952606201174,0.0005207765709799628,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.0755813953488372,0.5752314814814815,0.2491019589359562,164,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.7225433526011561,0.704855993240926,0.008843679680115103
4,0.23813266754150392,0.028132868962915468,0.002707672119140625,0.00040080636326572666,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.6994219653179191,0.6994219653179191,0.3670520231213873,0.6994219653179191,0.7034883720930233,0.6336805555555556,0.13341996202815662,145,0.7004341534008683,0.7004341534008683,0.7460202604920405,0.7004341534008683,0.6994219653179191,0.7093489372025129,0.018339851871227088
5,0.3196537017822266,0.06775769513992079,0.00531473159790039,0.0008140414002198272,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.3959537572254335,0.2063953488372093,0.5405092592592593,0.20390350554061581,169,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.7662807525325616,0.7615606936416185,0.725828781275357,0.031137735674243123
6,0.3379720687866211,0.06438611957362951,0.0060138702392578125,0.0011004209557174667,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.5606936416184971,0.7093023255813954,0.6736111111111112,0.05662859936298069,109,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.723589001447178,0.7008670520231214,0.7051517027345808,0.00922017386695912
7,0.46677613258361816,0.06197651310706,0.0072190284729003905,0.0009297119747255358,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 35}",0.6994219653179191,0.5491329479768786,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.6701388888888888,0.06056714808250971,120,0.7004341534008683,0.7293777134587555,0.7004341534008683,0.7004341534008683,0.6994219653179191,0.7060204277958559,0.01168522045542414
8,0.43442606925964355,0.08179889140870168,0.007920408248901367,0.0011163843343299919,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 40}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.7002314814814815,0.0016237319954344998,1,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.6994219653179191,0.7002317157842785,0.00040487523317969123
9,0.04602160453796387,0.00440900986744899,0.0007020950317382813,0.00024580728416984907,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 2}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.7002314814814815,0.0016237319954344998,1,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.6994219653179191,0.7002317157842785,0.00040487523317969123
10,0.07991619110107422,0.009953054272841468,0.0012037277221679688,0.0002460024758345514,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 5}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.7002314814814815,0.0016237319954344998,1,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.6994219653179191,0.7002317157842785,0.00040487523317969123
11,0.13546018600463866,0.046515444168827295,0.0016040325164794922,0.00020053405821803235,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 10}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.7002314814814815,0.0016237319954344998,1,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.6994219653179191,0.7002317157842785,0.00040487523317969123
12,0.19913249015808104,0.043250526934659986,0.0016040802001953125,0.00020051011007264063,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 15}",0.6994219653179191,0.41040462427745666,0.6994219653179191,0.6647398843930635,0.7034883720930233,0.6354166666666666,0.11345925224611539,141,0.7004341534008683,0.7214182344428365,0.7004341534008683,0.7163531114327062,0.6994219653179191,0.7076123235990396,0.009350280955575498
13,0.23422532081604003,0.01669700418562651,0.002205562591552734,0.00024561267797706515,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 20}",0.6994219653179191,0.5260115606936416,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.6655092592592593,0.06981700935159453,128,0.7120115774240231,0.7264833574529667,0.7004341534008683,0.7004341534008683,0.6994219653179191,0.707757041399329,0.010445083630924522
14,0.2651044845581055,0.025550389099583577,0.004812955856323242,0.00040107966443726653,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 25}",0.6994219653179191,0.5491329479768786,0.4393063583815029,0.6705202312138728,0.6831395348837209,0.6082175925925926,0.09986025166048572,153,0.7018813314037626,0.7206946454413893,0.7264833574529667,0.7257597684515196,0.7196531791907514,0.7188944563880779,0.008921734043917683
15,0.31104016304016113,0.06138872468193661,0.005414199829101562,0.00037529845299758306,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 30}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.7002314814814815,0.0016237319954344998,1,0.7004341534008683,0.7004341534008683,0.7149059334298119,0.7004341534008683,0.6994219653179191,0.7031260717900671,0.005902962287713838
16,0.4290482997894287,0.03099077539088576,0.006818437576293945,0.0008736802894246668,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 35}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6098265895953757,0.7034883720930233,0.6822916666666666,0.036292824894972694,102,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.7040520984081042,0.6994219653179191,0.7009553047857257,0.001597251198838427
17,0.42091922760009765,0.07805702166082767,0.008021116256713867,0.0010521883913971037,0.1,"(50,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 40}",0.6994219653179191,0.6994219653179191,0.5260115606936416,0.6907514450867052,0.7267441860465116,0.6684027777777778,0.07226802292721372,124,0.7004341534008683,0.7004341534008683,0.7264833574529667,0.7120115774240231,0.6979768786127167,0.7074680240582886,0.01068886613273523
