Data_Perspective,Dataset,N_Components,Metric,Value
ICA,Cars,2,Avg_Component_Absolute_Kurtosis,1.2002073547497818
ICA,Cars,4,Avg_Component_Absolute_Kurtosis,1.2553119237451014
ICA,Cars,6,Avg_Component_Absolute_Kurtosis,1.5008690614136762
ICA,Cars,8,Avg_Component_Absolute_Kurtosis,1.3668700629539092
ICA,Cars,10,Avg_Component_Absolute_Kurtosis,1.541869242888657
ICA,Cars,12,Avg_Component_Absolute_Kurtosis,1.7515939509966882
ICA,Cars,14,Avg_Component_Absolute_Kurtosis,1.6327117940538616
ICA,Cars,16,Avg_Component_Absolute_Kurtosis,1.5656299641802105
ICA,Cars,18,Avg_Component_Absolute_Kurtosis,1.5071649921647765
ICA,Cars,20,Avg_Component_Absolute_Kurtosis,1.5071649921647765
ICA,Cars,2,Reconstruction_Error,0.8333333333333335
ICA,Cars,4,Reconstruction_Error,0.6666666666666667
ICA,Cars,6,Reconstruction_Error,0.5000000000000001
ICA,Cars,8,Reconstruction_Error,0.35185185185185186
ICA,Cars,10,Reconstruction_Error,0.20370370370370366
ICA,Cars,12,Reconstruction_Error,0.05555555555555555
ICA,Cars,14,Reconstruction_Error,1.642225350449076e-05
ICA,Cars,16,Reconstruction_Error,0.0018800747433634813
ICA,Cars,18,Reconstruction_Error,0.006114144061922432
ICA,Cars,20,Reconstruction_Error,0.006114144061922432
PCA,Cars,1,Explained_Variance,1.5008685581934014
PCA,Cars,2,Explained_Variance,1.5008685581933998
PCA,Cars,3,Explained_Variance,1.5008685581933998
PCA,Cars,4,Explained_Variance,1.5008685581933991
PCA,Cars,5,Explained_Variance,1.5008685581933994
PCA,Cars,6,Explained_Variance,1.5008685581933972
PCA,Cars,7,Explained_Variance,1.3341053850608022
PCA,Cars,8,Explained_Variance,1.3341053850608011
PCA,Cars,9,Explained_Variance,1.3341053850607998
PCA,Cars,10,Explained_Variance,1.3341053850607971
PCA,Cars,11,Explained_Variance,1.334105385060792
PCA,Cars,12,Explained_Variance,1.33410538506079
PCA,Cars,13,Explained_Variance,1.0005790387956004
PCA,Cars,14,Explained_Variance,6.436984501122023e-29
PCA,Cars,15,Explained_Variance,1.7755514275036193e-29
PCA,Cars,16,Explained_Variance,9.839423966890261e-30
PCA,Cars,17,Explained_Variance,7.5077304833459005e-31
PCA,Cars,18,Explained_Variance,3.403161127439359e-31
PCA,Cars,2,Reconstruction_Error,0.8333333333333334
PCA,Cars,4,Reconstruction_Error,0.6666666666666667
PCA,Cars,6,Reconstruction_Error,0.5000000000000001
PCA,Cars,8,Reconstruction_Error,0.35185185185185186
PCA,Cars,10,Reconstruction_Error,0.2037037037037037
PCA,Cars,12,Reconstruction_Error,0.05555555555555556
PCA,Cars,14,Reconstruction_Error,4.252956397055659e-30
PCA,Cars,16,Reconstruction_Error,5.634976777979992e-31
PCA,Cars,18,Reconstruction_Error,3.6554695232056886e-31
RP,Cars,2,Projected_Pairwise_Distance_10_Trial_Correlation_Avg,0.29175686956297187
RP,Cars,4,Projected_Pairwise_Distance_10_Trial_Correlation_Avg,0.40267545375968516
RP,Cars,6,Projected_Pairwise_Distance_10_Trial_Correlation_Avg,0.4726485222923496
RP,Cars,8,Projected_Pairwise_Distance_10_Trial_Correlation_Avg,0.5311330253209708
RP,Cars,10,Projected_Pairwise_Distance_10_Trial_Correlation_Avg,0.5767874829496625
RP,Cars,12,Projected_Pairwise_Distance_10_Trial_Correlation_Avg,0.6092643244745946
RP,Cars,14,Projected_Pairwise_Distance_10_Trial_Correlation_Avg,0.6383881502295493
RP,Cars,16,Projected_Pairwise_Distance_10_Trial_Correlation_Avg,0.6528617957029776
RP,Cars,18,Projected_Pairwise_Distance_10_Trial_Correlation_Avg,0.6755885891204936
RP,Cars,20,Projected_Pairwise_Distance_10_Trial_Correlation_Avg,0.7066059737898959
RP,Cars,2,Projected_Pairwise_Distance_10_Trial_Correlation_Std,0.018310898757575675
RP,Cars,4,Projected_Pairwise_Distance_10_Trial_Correlation_Std,0.02868472978113322
RP,Cars,6,Projected_Pairwise_Distance_10_Trial_Correlation_Std,0.029497030125223714
RP,Cars,8,Projected_Pairwise_Distance_10_Trial_Correlation_Std,0.032323659797821765
RP,Cars,10,Projected_Pairwise_Distance_10_Trial_Correlation_Std,0.02748974854681542
RP,Cars,12,Projected_Pairwise_Distance_10_Trial_Correlation_Std,0.02476778886870794
RP,Cars,14,Projected_Pairwise_Distance_10_Trial_Correlation_Std,0.02167182425749752
RP,Cars,16,Projected_Pairwise_Distance_10_Trial_Correlation_Std,0.02146679293712345
RP,Cars,18,Projected_Pairwise_Distance_10_Trial_Correlation_Std,0.019798282211649913
RP,Cars,20,Projected_Pairwise_Distance_10_Trial_Correlation_Std,0.014893309417017232
RP,Cars,2,Reconstruction_Error,0.8833882527510883
RP,Cars,4,Reconstruction_Error,0.7766065964412607
RP,Cars,6,Reconstruction_Error,0.6736572403858089
RP,Cars,8,Reconstruction_Error,0.5521114670706214
RP,Cars,10,Reconstruction_Error,0.4532508572640972
RP,Cars,12,Reconstruction_Error,0.3436058382114023
RP,Cars,14,Reconstruction_Error,0.23398366272429297
RP,Cars,16,Reconstruction_Error,0.12759373540877636
RP,Cars,18,Reconstruction_Error,0.010385664631996286
RP,Cars,20,Reconstruction_Error,8.008239785740303e-30
RP,Cars,2,Reconstruction_Error_Std,0.010675281949223433
RP,Cars,4,Reconstruction_Error_Std,0.009897347519916404
RP,Cars,6,Reconstruction_Error_Std,0.0368879307040408
RP,Cars,8,Reconstruction_Error_Std,0.03362333378162459
RP,Cars,10,Reconstruction_Error_Std,0.02169067707451203
RP,Cars,12,Reconstruction_Error_Std,0.024982297353000945
RP,Cars,14,Reconstruction_Error_Std,0.024393450200591145
RP,Cars,16,Reconstruction_Error_Std,0.01998440453409294
RP,Cars,18,Reconstruction_Error_Std,0.020963332625130865
RP,Cars,20,Reconstruction_Error_Std,6.3084748449770335e-30
ICA,Madelon,2,Avg_Component_Absolute_Kurtosis,0.5769191425115412
ICA,Madelon,5,Avg_Component_Absolute_Kurtosis,0.8721770431672432
ICA,Madelon,10,Avg_Component_Absolute_Kurtosis,0.5246740668360912
ICA,Madelon,15,Avg_Component_Absolute_Kurtosis,0.4010876528045956
ICA,Madelon,20,Avg_Component_Absolute_Kurtosis,0.4669257900017562
ICA,Madelon,25,Avg_Component_Absolute_Kurtosis,0.5253102161455069
ICA,Madelon,30,Avg_Component_Absolute_Kurtosis,0.5998639022491753
ICA,Madelon,35,Avg_Component_Absolute_Kurtosis,0.6852966843250258
ICA,Madelon,40,Avg_Component_Absolute_Kurtosis,0.7487449084019737
ICA,Madelon,45,Avg_Component_Absolute_Kurtosis,0.6016641495778138
ICA,Madelon,50,Avg_Component_Absolute_Kurtosis,0.8118615979614034
ICA,Madelon,55,Avg_Component_Absolute_Kurtosis,0.9364410640219416
ICA,Madelon,60,Avg_Component_Absolute_Kurtosis,0.939860385649528
ICA,Madelon,2,Reconstruction_Error,0.9766009330183668
ICA,Madelon,5,Reconstruction_Error,0.9566499660056059
ICA,Madelon,10,Reconstruction_Error,0.934709613164095
ICA,Madelon,15,Reconstruction_Error,0.9135919741605396
ICA,Madelon,20,Reconstruction_Error,0.8930120642158431
ICA,Madelon,25,Reconstruction_Error,0.8729118296948604
ICA,Madelon,30,Reconstruction_Error,0.8533029830454104
ICA,Madelon,35,Reconstruction_Error,0.834146089009982
ICA,Madelon,40,Reconstruction_Error,0.8154052565572719
ICA,Madelon,45,Reconstruction_Error,0.797064174636272
ICA,Madelon,50,Reconstruction_Error,0.7791302240436998
ICA,Madelon,55,Reconstruction_Error,0.7615528025302014
ICA,Madelon,60,Reconstruction_Error,0.7442759299335079
PCA,Madelon,1,Explained_Variance,6.666437413533332
PCA,Madelon,2,Explained_Variance,5.039527926371092
PCA,Madelon,3,Explained_Variance,4.2662865473687415
PCA,Madelon,4,Explained_Variance,3.1818864788633463
PCA,Madelon,5,Explained_Variance,2.5327945282554163
PCA,Madelon,6,Explained_Variance,2.2473880567382065
PCA,Madelon,7,Explained_Variance,2.217127305753761
PCA,Madelon,8,Explained_Variance,2.18721956770881
PCA,Madelon,9,Explained_Variance,2.1663768434702213
PCA,Madelon,10,Explained_Variance,2.158095530218285
PCA,Madelon,11,Explained_Variance,2.141974553799269
PCA,Madelon,12,Explained_Variance,2.120784941252992
PCA,Madelon,13,Explained_Variance,2.112467294033873
PCA,Madelon,14,Explained_Variance,2.103902378784797
PCA,Madelon,15,Explained_Variance,2.085495072500756
PCA,Madelon,16,Explained_Variance,2.0805895036621624
PCA,Madelon,17,Explained_Variance,2.0701368172508143
PCA,Madelon,18,Explained_Variance,2.0590417447418066
PCA,Madelon,19,Explained_Variance,2.049783883457108
PCA,Madelon,20,Explained_Variance,2.0360599528523946
PCA,Madelon,21,Explained_Variance,2.032242820817341
PCA,Madelon,22,Explained_Variance,2.015466285313812
PCA,Madelon,23,Explained_Variance,2.011429523085131
PCA,Madelon,24,Explained_Variance,2.0058833522505317
PCA,Madelon,25,Explained_Variance,1.9906203572328809
PCA,Madelon,26,Explained_Variance,1.985147783315649
PCA,Madelon,27,Explained_Variance,1.9633179255055784
PCA,Madelon,28,Explained_Variance,1.959594478735818
PCA,Madelon,29,Explained_Variance,1.952274498430484
PCA,Madelon,30,Explained_Variance,1.9494786460626932
PCA,Madelon,31,Explained_Variance,1.9424757452090249
PCA,Madelon,32,Explained_Variance,1.934380261618669
PCA,Madelon,33,Explained_Variance,1.9117349139390178
