mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,N_Components/Clusters/Features,params,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,Data_Perspective,Dataset,Clustering_Algorithm,Clustered_Data
0.08412351608276368,0.010926153344360921,0.0010029315948486331,8.064048063892252e-07,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.7002314814814815,0.0016237319954344998,1,0.7002317157842785,0.00040487523317969123,BASE,Cars,GMM,1
0.10467638969421386,0.010379122421529415,0.0012033939361572265,0.00024569043715214783,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.7002314814814815,0.0016237319954344998,1,0.6827216984683336,0.03350783199306162,BASE,Cars,GMM,1
0.15260581970214845,0.038785274738775063,0.0016042709350585938,0.000490865106058476,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.7002314814814815,0.0016237319954344998,1,0.7002317157842785,0.00040487523317969123,BASE,Cars,GMM,1
0.21679067611694336,0.04107693094383087,0.0022120952606201174,0.0005207765709799628,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.5752314814814815,0.2491019589359562,164,0.704855993240926,0.008843679680115103,BASE,Cars,GMM,1
0.2381326675415039,0.028132868962915468,0.002707672119140625,0.00040080636326572666,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.6336805555555556,0.13341996202815662,145,0.7093489372025129,0.018339851871227088,BASE,Cars,GMM,1
0.3196537017822266,0.06775769513992079,0.005314731597900389,0.0008140414002198273,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.5405092592592593,0.2039035055406158,169,0.725828781275357,0.031137735674243126,BASE,Cars,GMM,1
0.3379720687866211,0.06438611957362951,0.006013870239257813,0.0011004209557174667,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",0.6736111111111112,0.05662859936298069,109,0.7051517027345808,0.00922017386695912,BASE,Cars,GMM,1
0.4667761325836182,0.06197651310706,0.0072190284729003905,0.0009297119747255357,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 35}",0.6701388888888888,0.060567148082509716,120,0.7060204277958559,0.01168522045542414,BASE,Cars,GMM,1
0.4344260692596436,0.08179889140870167,0.007920408248901367,0.001116384334329992,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 40}",0.7002314814814815,0.0016237319954344998,1,0.7002317157842785,0.00040487523317969123,BASE,Cars,GMM,1
0.04602160453796387,0.00440900986744899,0.0007020950317382813,0.00024580728416984907,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 2}",0.7002314814814815,0.0016237319954344998,1,0.7002317157842785,0.00040487523317969123,BASE,Cars,GMM,1
0.07991619110107423,0.00995305427284147,0.0012037277221679688,0.00024600247583455144,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 5}",0.7002314814814815,0.0016237319954344998,1,0.7002317157842785,0.00040487523317969123,BASE,Cars,GMM,1
0.13546018600463866,0.046515444168827295,0.0016040325164794922,0.00020053405821803235,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 10}",0.7002314814814815,0.0016237319954344998,1,0.7002317157842785,0.00040487523317969123,BASE,Cars,GMM,1
0.19913249015808104,0.04325052693465999,0.0016040802001953125,0.00020051011007264066,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 15}",0.6354166666666666,0.1134592522461154,141,0.7076123235990396,0.009350280955575498,BASE,Cars,GMM,1
0.23422532081604006,0.01669700418562651,0.0022055625915527338,0.00024561267797706515,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 20}",0.6655092592592593,0.06981700935159453,128,0.7077570413993292,0.010445083630924522,BASE,Cars,GMM,1
0.2651044845581055,0.025550389099583574,0.004812955856323242,0.0004010796644372665,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 25}",0.6082175925925926,0.09986025166048572,153,0.7188944563880779,0.008921734043917683,BASE,Cars,GMM,1
0.31104016304016113,0.06138872468193661,0.0054141998291015615,0.0003752984529975831,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 30}",0.7002314814814815,0.0016237319954344998,1,0.7031260717900671,0.005902962287713838,BASE,Cars,GMM,1
0.4290482997894287,0.030990775390885763,0.006818437576293945,0.0008736802894246668,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 35}",0.6822916666666666,0.03629282489497269,102,0.7009553047857257,0.001597251198838427,BASE,Cars,GMM,1
0.4209192276000977,0.07805702166082767,0.008021116256713867,0.0010521883913971037,0.1,"(50,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 40}",0.6684027777777778,0.07226802292721372,124,0.7074680240582886,0.010688866132735229,BASE,Cars,GMM,1
0.0437169075012207,0.007294837519789303,0.0008020877838134764,0.000245126692416173,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 2}",0.7002314814814815,0.0016237319954344998,1,0.7002317157842785,0.00040487523317969123,BASE,Cars,GMM,1
0.06497259140014648,0.01175239011894861,0.001203155517578125,0.0002456905296969107,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 5}",0.7002314814814815,0.0016237319954344998,1,0.7002317157842785,0.00040487523317969123,BASE,Cars,GMM,1
0.12795743942260746,0.0310529931744723,0.0016028881072998047,0.00019729168393436332,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 10}",0.7002314814814815,0.0016237319954344998,1,0.7002317157842785,0.00040487523317969123,BASE,Cars,GMM,1
0.18569693565368653,0.04211005534379387,0.002005338668823242,0.0005492934952368756,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 15}",0.6487268518518519,0.08004092583295086,136,0.6951665927741482,0.013903387858027454,BASE,Cars,GMM,1
