Data_Perspective,Dataset,Perplexity,KL_Divergence
PCA/,Cars,0,0.755178689956665
PCA/,Cars,5,0.10860078036785126
PCA/,Cars,10,0.024543538689613342
PCA/,Cars,15,-0.002569197211414576
PCA/,Cars,20,0.0009695169283077119
PCA/,Cars,25,-0.008926170878112316
PCA/,Cars,30,-0.0041704331524670115
PCA/,Cars,35,0.03768836706876755
PCA/,Cars,40,0.06425536423921585
PCA/,Cars,45,0.08453423529863358
PCA/,Cars,50,0.08637402951717378
PCA/,Cars,55,0.13335813581943512
PCA/,Cars,60,0.14070585370063782
PCA/,Cars,65,0.1717810332775116
PCA/,Madelon,0,0.0
PCA/,Madelon,5,1.1433615684509275
PCA/,Madelon,10,1.2832984924316406
PCA/,Madelon,15,1.3182687759399414
PCA/,Madelon,20,1.34175443649292
PCA/,Madelon,25,1.3454625606536863
PCA/,Madelon,30,1.3328322172164917
PCA/,Madelon,35,1.3268359899520874
PCA/,Madelon,40,1.306153655052185
PCA/,Madelon,45,1.307090163230896
PCA/,Madelon,50,1.2894678115844729
PCA/,Madelon,55,1.2804447412490845
PCA/,Madelon,60,1.2703971862792969
PCA/,Madelon,65,1.2590765953063965
RF/,Cars,0,0.0
RF/,Cars,5,0.5168042182922363
RF/,Cars,10,0.8633964657783508
RF/,Cars,15,1.0047309398651123
RF/,Cars,20,1.14115571975708
RF/,Cars,25,1.197074294090271
RF/,Cars,30,1.224176049232483
RF/,Cars,35,1.2683444023132324
RF/,Cars,40,1.307332158088684
RF/,Cars,45,1.3342710733413696
RF/,Cars,50,1.3401238918304443
RF/,Cars,55,1.3357741832733154
RF/,Cars,60,1.369757056236267
RF/,Cars,65,1.3317278623580933
RF/,Madelon,0,0.0
RF/,Madelon,5,1.0722460746765137
RF/,Madelon,10,1.181760311126709
RF/,Madelon,15,1.2067797183990479
RF/,Madelon,20,1.2000274658203125
RF/,Madelon,25,1.192622184753418
RF/,Madelon,30,1.189275145530701
RF/,Madelon,35,1.1812641620635986
RF/,Madelon,40,1.1745773553848269
RF/,Madelon,45,1.1658333539962769
RF/,Madelon,50,1.1506309509277344
RF/,Madelon,55,1.1410776376724243
RF/,Madelon,60,1.1443122625350952
RF/,Madelon,65,1.1133838891983032
ICA/,Cars,0,-3.692079408545731e-31
ICA/,Cars,5,0.1062767431139946
ICA/,Cars,10,0.14026860892772675
ICA/,Cars,15,0.16712935268878934
ICA/,Cars,20,0.20841790735721588
ICA/,Cars,25,0.2692762613296509
ICA/,Cars,30,0.3465509414672852
ICA/,Cars,35,0.3995383679866791
ICA/,Cars,40,0.4476968348026276
ICA/,Cars,45,0.5416557192802429
ICA/,Cars,50,0.5412728786468506
ICA/,Cars,55,0.5768253207206726
ICA/,Cars,60,0.5969156622886658
ICA/,Cars,65,0.6386895179748535
ICA/,Madelon,0,0.0
ICA/,Madelon,5,1.0813812017440796
ICA/,Madelon,10,1.217829346656799
ICA/,Madelon,15,1.245466947555542
ICA/,Madelon,20,1.2817109823226929
ICA/,Madelon,25,1.265496850013733
ICA/,Madelon,30,1.2735459804534912
ICA/,Madelon,35,1.2682474851608276
ICA/,Madelon,40,1.2436507940292358
ICA/,Madelon,45,1.2543551921844482
ICA/,Madelon,50,1.238066554069519
ICA/,Madelon,55,1.2139232158660889
ICA/,Madelon,60,1.2444255352020264
ICA/,Madelon,65,1.1940547227859497
RP/,Cars,0,0.0
RP/,Cars,5,0.5568012595176697
RP/,Cars,10,0.6992659568786621
RP/,Cars,15,0.7809309363365173
RP/,Cars,20,0.8359450697898865
RP/,Cars,25,0.8692198991775513
RP/,Cars,30,0.8987054228782654
RP/,Cars,35,0.9232982993125916
RP/,Cars,40,0.928802490234375
RP/,Cars,45,0.9444087743759156
RP/,Cars,50,0.9451336860656738
RP/,Cars,55,0.9548607468605042
RP/,Cars,60,0.955268621444702
RP/,Cars,65,0.9607161879539492
RP/,Madelon,0,0.0
RP/,Madelon,5,2.705657958984375
RP/,Madelon,10,2.9448843002319336
RP/,Madelon,15,2.9208807945251465
RP/,Madelon,20,2.9612903594970703
RP/,Madelon,25,2.8875539302825928
RP/,Madelon,30,2.836909294128418
RP/,Madelon,35,2.779472827911377
