X,Y,Target,Dataset,Data_Perspective
-31.61551094055176,-25.296205520629886,0.0,cars,BASE
-17.212791442871097,-12.543370246887207,0.0,cars,BASE
-27.641698837280273,-27.70285606384277,0.0,cars,BASE
-19.92406272888184,-29.720590591430664,0.0,cars,BASE
-17.96116828918457,-15.166669845581055,0.0,cars,BASE
-15.439806938171387,-28.49686050415039,0.0,cars,BASE
-29.20709800720215,-12.813154220581055,0.0,cars,BASE
-21.957658767700195,-10.87116241455078,0.0,cars,BASE
-26.652603149414066,-11.586050987243652,0.0,cars,BASE
-32.558155059814446,-22.10117721557617,0.0,cars,BASE
-14.230026245117188,-16.38246726989746,0.0,cars,BASE
-24.383583068847656,-27.41865539550781,0.0,cars,BASE
-20.50135040283203,-26.75612831115723,0.0,cars,BASE
-15.943605422973633,-18.51785469055176,0.0,cars,BASE
-13.204257011413574,-26.85998916625977,0.0,cars,BASE
-29.453065872192386,-16.062612533569336,0.0,cars,BASE
-22.63566780090332,-13.932211875915527,0.0,cars,BASE
-26.04972267150879,-14.444600105285645,0.0,cars,BASE
-27.53992462158203,-22.308799743652344,0.0,cars,BASE
-12.75361442565918,-19.565282821655273,0.0,cars,BASE
-23.81400489807129,-22.96623039245605,0.0,cars,BASE
-20.072996139526367,-23.682958602905273,0.0,cars,BASE
-15.158876419067385,-21.26033973693848,0.0,cars,BASE
-16.000574111938473,-25.534189224243164,0.0,cars,BASE
-27.045114517211914,-18.785659790039066,0.0,cars,BASE
-21.113332748413086,-18.484865188598636,0.0,cars,BASE
-24.031869888305664,-19.619314193725586,0.0,cars,BASE
-31.22622489929199,-25.105825424194336,0.0,cars,BASE
-16.83938980102539,-12.71772575378418,0.0,cars,BASE
-27.59965515136719,-27.27215385437012,0.0,cars,BASE
-19.494163513183594,-29.684125900268555,0.0,cars,BASE
-17.830942153930664,-15.548396110534668,0.0,cars,BASE
-15.306294441223145,-28.87332344055176,0.0,cars,BASE
-29.57916831970215,-12.973125457763672,0.0,cars,BASE
-21.596494674682614,-11.066584587097168,0.0,cars,BASE
-26.27693748474121,-11.43267822265625,0.0,cars,BASE
-32.20368194580078,-21.849985122680664,0.0,cars,BASE
-14.027992248535154,-16.042779922485348,0.0,cars,BASE
-24.4471435546875,-26.998884201049805,0.0,cars,BASE
-20.08831787109375,-26.70189094543457,0.0,cars,BASE
-16.341899871826172,-18.63504409790039,0.0,cars,BASE
-13.086886405944824,-26.480432510375977,0.0,cars,BASE
-29.81955146789551,-16.278169631958008,0.0,cars,BASE
-22.27912139892578,-14.138249397277832,0.0,cars,BASE
-25.79052352905273,-14.75011920928955,0.0,cars,BASE
-27.941375732421875,-22.29438591003418,0.0,cars,BASE
-12.560855865478516,-19.20408821105957,0.0,cars,BASE
-24.16619300842285,-23.178171157836914,0.0,cars,BASE
-19.65679168701172,-23.703969955444336,0.0,cars,BASE
-15.582180976867676,-21.30447769165039,0.0,cars,BASE
-15.90614414215088,-25.13642501831055,0.0,cars,BASE
-27.42593193054199,-18.74056434631348,0.0,cars,BASE
-21.231828689575195,-18.077312469482425,0.0,cars,BASE
-24.16280937194824,-19.22246551513672,0.0,cars,BASE
-30.703744888305664,-24.853700637817386,0.0,cars,BASE
-16.306636810302734,-12.9522705078125,0.0,cars,BASE
-27.549617767333984,-26.686870574951172,0.0,cars,BASE
-18.907712936401367,-29.67618560791016,0.0,cars,BASE
-17.72878074645996,-16.09375,0.0,cars,BASE
-15.117711067199707,-29.41759490966797,0.0,cars,BASE
-30.13327980041504,-13.145346641540527,0.0,cars,BASE
-21.06063842773437,-11.306410789489744,0.0,cars,BASE
-25.77596664428711,-11.153526306152344,0.0,cars,BASE
-31.767356872558594,-21.46514892578125,0.0,cars,BASE
-13.711256980895994,-15.56906509399414,0.0,cars,BASE
-24.549562454223636,-26.42992210388184,0.0,cars,BASE
-19.508724212646484,-26.664159774780273,0.0,cars,BASE
-16.89961814880371,-18.81284713745117,0.0,cars,BASE
-12.851847648620605,-25.94580078125,0.0,cars,BASE
-30.335065841674805,-16.568344116210938,0.0,cars,BASE
-21.761571884155273,-14.373860359191895,0.0,cars,BASE
-25.4466609954834,-15.197925567626953,0.0,cars,BASE
-28.50584602355957,-22.246013641357425,0.0,cars,BASE
-12.212769508361815,-18.738693237304688,0.0,cars,BASE
-24.653682708740234,-23.47501945495605,0.0,cars,BASE
-19.08443260192871,-23.733924865722656,0.0,cars,BASE
-16.166875839233402,-21.38471031188965,0.0,cars,BASE
-15.731006622314453,-24.60208320617676,0.0,cars,BASE
-27.986682891845703,-18.72055435180664,0.0,cars,BASE
-21.38534164428711,-17.521968841552734,0.0,cars,BASE
-24.31433868408203,-18.657867431640625,0.0,cars,BASE
-30.33907890319824,-24.686676025390625,0.0,cars,BASE
-15.899664878845215,-13.063631057739258,0.0,cars,BASE
-27.510189056396484,-26.272911071777344,0.0,cars,BASE
-18.49492073059082,-29.72071647644043,0.0,cars,BASE
-17.714292526245114,-16.47373390197754,0.0,cars,BASE
-14.965025901794435,-29.814289093017575,0.0,cars,BASE
-30.545692443847656,-13.24578857421875,0.0,cars,BASE
-20.67482185363769,-11.449941635131836,0.0,cars,BASE
-25.43689155578613,-10.897687911987305,0.0,cars,BASE
-31.49396324157715,-21.161357879638672,0.0,cars,BASE
-13.46372890472412,-15.232708930969238,0.0,cars,BASE
-24.64239501953125,-26.049808502197266,0.0,cars,BASE
-19.091951370239254,-26.65852928161621,0.0,cars,BASE
-17.295263290405273,-18.946853637695312,0.0,cars,BASE
-12.643816947937012,-25.56954002380371,0.0,cars,BASE
-30.71789741516113,-16.770999908447266,0.0,cars,BASE
-21.38520622253418,-14.513602256774902,0.0,cars,BASE
-25.20823860168457,-15.517804145812988,0.0,cars,BASE
-28.90031623840332,-22.193655014038086,0.0,cars,BASE
-11.914050102233887,-18.427963256835934,0.0,cars,BASE
-25.00106811523437,-23.6901798248291,0.0,cars,BASE
-18.68536376953125,-23.74464988708496,0.0,cars,BASE
-16.585609436035153,-21.43080711364746,0.0,cars,BASE
-15.553194046020508,-24.24860000610352,0.0,cars,BASE
-28.399028778076172,-18.74820709228516,0.0,cars,BASE
-21.49017333984375,-17.13834571838379,0.0,cars,BASE
-24.410348892211914,-18.250295639038086,0.0,cars,BASE
1.7188973426818848,-46.98235702514648,0.0,cars,BASE
11.735337257385256,-41.979957580566406,0.0,cars,BASE
-4.150771617889403,-39.99656677246094,0.0,cars,BASE
4.70018482208252,-44.81611251831055,0.0,cars,BASE
10.958532333374023,-39.44595336914063,0.0,cars,BASE
-1.484233021736145,-36.29343795776367,0.0,cars,BASE
7.415253639221191,-29.96496391296387,0.0,cars,BASE
10.257568359375,-31.943462371826172,0.0,cars,BASE
0.4874645471572876,-32.29249954223633,0.0,cars,BASE
-1.3695722818374634,-46.612281799316406,0.0,cars,BASE
15.228702545166016,-40.36206817626953,0.0,cars,BASE
-6.9964356422424325,-38.966651916503906,0.0,cars,BASE
-3.716184139251709,-44.61941528320313,0.0,cars,BASE
14.909138679504395,-37.44552993774414,0.0,cars,BASE
-5.204804420471191,-33.4384765625,0.0,cars,BASE
2.567568063735962,-28.31403350830078,0.0,cars,BASE
13.660844802856445,-33.33009719848633,0.0,cars,BASE
-1.4639348983764648,-29.7968864440918,0.0,cars,BASE
0.4394710063934326,-44.458595275878906,0.0,cars,BASE
8.348658561706543,-42.02935028076172,0.0,cars,BASE
-1.5946837663650513,-41.15555953979492,0.0,cars,BASE
4.043262004852295,-42.02040100097656,0.0,cars,BASE
6.799087047576903,-39.6657600402832,0.0,cars,BASE
0.8362981081008911,-37.807212829589844,0.0,cars,BASE
5.328889846801758,-33.35984420776367,0.0,cars,BASE
7.001247882843018,-35.48102951049805,0.0,cars,BASE
2.1823723316192627,-34.41034698486328,0.0,cars,BASE
1.9709973335266116,-47.28592300415039,0.0,cars,BASE
11.798727035522461,-42.38383483886719,0.0,cars,BASE
-3.987859725952149,-39.59030151367188,0.0,cars,BASE
4.836430072784424,-45.19892501831055,0.0,cars,BASE
10.885704040527344,-39.04897689819336,0.0,cars,BASE
-1.842166543006897,-36.11834335327149,0.0,cars,BASE
6.99988317489624,-29.92806434631348,0.0,cars,BASE
10.182214736938477,-32.36975479125977,0.0,cars,BASE
0.16846700012683868,-32.545345306396484,0.0,cars,BASE
-1.496489644050598,-47.004188537597656,0.0,cars,BASE
15.043234825134276,-40.73774337768555,0.0,cars,BASE
-6.896611213684082,-38.53798294067383,0.0,cars,BASE
-3.9906351566314697,-44.93349838256836,0.0,cars,BASE
14.476643562316895,-37.429847717285156,0.0,cars,BASE
-5.287103652954102,-33.853546142578125,0.0,cars,BASE
2.842517375946045,-28.64558410644531,0.0,cars,BASE
13.36978816986084,-33.653079986572266,0.0,cars,BASE
-1.787355661392212,-30.08818626403809,0.0,cars,BASE
0.7450864315032959,-44.191593170166016,0.0,cars,BASE
8.512253761291504,-42.38811111450195,0.0,cars,BASE
-1.2688124179840088,-40.88591003417969,0.0,cars,BASE
3.837042570114136,-41.67448043823242,0.0,cars,BASE
7.076108932495117,-39.37681579589844,0.0,cars,BASE
1.2028305530548096,-37.997169494628906,0.0,cars,BASE
5.130950927734375,-33.0264892578125,0.0,cars,BASE
7.410636901855469,-35.431400299072266,0.0,cars,BASE
2.409247398376465,-34.72997665405273,0.0,cars,BASE
2.3127212524414062,-47.75207138061523,0.0,cars,BASE
11.905692100524902,-42.956634521484375,0.0,cars,BASE
-3.7958753108978267,-39.034278869628906,0.0,cars,BASE
5.05820369720459,-45.74064636230469,0.0,cars,BASE
10.805798530578613,-38.48467254638672,0.0,cars,BASE
